#{"t_start": 1768158445.438503, "env_id": "None"}
r,l,t
-300.647261,12,1.079727
-201.13434,12,1.09496
-247.746117,12,1.107831
-341.437214,12,1.123786
-292.379105,12,1.137682
-246.701844,12,1.152816
-251.730587,12,1.167737
-299.088066,12,1.178495
-281.36843,12,1.196249
-189.757733,12,1.212007
-272.396288,12,1.226576
-373.290568,12,1.239369
-239.437308,12,1.248393
-204.71036,12,1.272912
-214.810047,12,1.289544
-367.72781,12,1.302215
-320.072816,12,1.318248
-323.178322,12,1.333574
-272.754282,12,1.350095
-249.295054,12,1.365207
-309.051009,12,1.386482
-293.590752,12,1.401801
-370.190998,12,1.415496
-312.298612,12,1.430215
-280.374605,12,1.443841
-294.50526,12,1.458083
-319.117749,12,1.467966
-329.725702,12,1.48408
-298.451836,12,1.505328
-312.208518,12,1.517958
-243.889322,12,1.53293
-334.555779,12,1.547832
-196.630394,12,1.562988
-296.525086,12,1.572936
-297.890123,12,1.589776
-300.01761,12,1.600022
-301.193586,12,1.618213
-361.689273,12,1.632629
-357.864681,12,1.648306
-293.14117,12,1.661894
-258.148239,12,1.67398
-302.481625,12,1.688092
-321.890717,12,1.70216
-328.795888,12,1.710998
-381.99871,12,1.731797
-155.680916,12,1.742612
-189.231215,12,1.758534
-350.694399,12,1.771968
-339.956989,12,1.777662
-309.129657,12,1.798478
-355.838423,12,1.811299
-277.258343,12,1.824453
-375.852637,12,1.83811
-287.351778,12,1.852299
-186.904306,12,1.865389
-331.586775,12,1.8784
-311.042376,12,1.891472
-373.744123,12,1.903565
-344.831162,12,1.917717
-335.495,12,1.931357
-332.335376,12,1.943984
-43.171958,12,1.958044
-307.513415,12,1.971917
-261.311369,12,1.982025
-312.994478,12,1.997993
-217.832622,12,2.011367
-225.104406,12,2.023679
-303.481124,12,2.038171
-192.493622,12,2.05172
-342.402104,12,2.066526
-271.496002,12,2.078063
-320.473207,12,2.094228
-112.266166,12,2.105361
-282.536044,12,2.117678
-228.325424,12,2.129384
-313.438342,12,2.147893
-209.326966,12,2.161097
-292.343497,12,2.171473
-231.713813,12,2.187316
-293.259271,12,2.198007
-260.478349,12,2.215396
-338.655976,12,2.229462
-256.907595,12,2.243165
-341.349923,12,2.25622
-280.909313,12,2.26954
-176.424798,12,2.28114
-329.448607,12,2.297682
-289.227138,12,2.312236
-266.604072,12,2.324763
-234.793162,12,2.337982
-299.34038,12,2.351255
-291.634632,12,2.361757
-148.275387,12,2.377838
-302.089087,12,2.393962
-316.543386,12,2.411507
-261.799328,12,2.426654
-378.899566,12,2.444213
-176.154007,12,2.458354
-285.690619,12,2.471427
-322.225395,12,2.477972
-338.587913,12,2.49764
-316.14575,12,2.510882
-286.935244,12,2.517693
-287.699766,12,2.538136
-344.254585,12,2.547837
-320.658623,12,2.561426
-358.871301,12,2.573368
-266.154459,12,2.590235
-354.561959,12,2.604507
-321.901927,12,2.619423
-223.604511,12,2.630033
-381.541662,12,2.6451
-307.818605,12,2.65917
-259.936712,12,2.673568
-366.148732,12,2.689219
-262.855191,12,2.702143
-96.923034,12,2.719401
-268.281306,12,2.731722
-272.584772,12,2.747678
-231.757627,12,2.762599
-305.904386,12,2.776704
-271.892927,12,2.790363
-321.735921,12,2.804633
-386.087638,12,2.819855
-253.192071,12,2.833447
-335.949594,12,2.848096
-379.084129,12,2.86227
-250.506823,12,2.877641
-241.882594,12,2.891695
-273.704817,12,2.904879
-324.766256,12,2.920028
-247.410199,12,2.930564
-349.554572,12,2.94912
-282.760246,12,2.961467
-279.558514,12,2.977876
-243.746664,12,2.98984
-268.761831,12,3.000187
-292.860978,12,3.019665
-288.509176,12,3.031467
-225.304323,12,3.049995
-327.402004,12,3.062267
-253.674507,12,3.077825
-319.747048,12,3.09578
-262.116909,12,3.108531
-310.10344,12,3.124558
-346.316587,12,3.138022
-267.700819,12,3.147722
-374.080484,12,3.167982
-325.442857,12,3.183892
-265.804623,12,3.197918
-303.167325,12,3.211405
-310.368481,12,3.227026
-329.571532,12,3.239232
-326.570727,12,3.249462
-304.063291,12,3.267963
-376.792428,12,3.282627
-144.854721,12,3.297131
-263.244143,12,3.310668
-230.598268,12,3.32396
-232.936628,12,3.3359
-304.631108,12,3.347839
-214.786456,12,3.362395
-296.032385,12,3.380016
-254.546696,12,3.392604
-353.23898,12,3.407906
-339.09051,12,3.421451
-268.85981,12,3.439394
-277.891721,12,3.455481
-193.442123,12,3.472303
-325.66576,12,3.489159
-221.231092,12,4.675156
-285.281129,12,4.68799
-346.858591,12,4.702859
-212.148362,12,4.718036
-278.029694,12,4.733719
-240.554434,12,4.747851
-298.17292,12,4.76203
-248.982676,12,4.777012
-313.105538,12,4.794064
-332.838228,12,4.807076
-368.47133,12,4.819642
-250.349107,12,4.832775
-266.90548,12,4.851178
-266.997934,12,4.864255
-317.750314,12,4.878319
-235.905601,12,4.893198
-337.321103,12,4.901883
-97.030294,12,4.91772
-123.599411,12,4.932857
-186.175426,12,4.94789
-261.582926,12,4.963478
-204.986034,12,4.974014
-183.006516,12,4.99024
-113.633721,12,5.004458
-223.442187,12,5.019419
-303.532924,12,5.033063
-221.633366,12,5.048882
-274.387615,12,5.062481
-230.807935,12,5.076325
-261.724456,12,5.089478
-249.072659,12,5.098145
-134.000413,12,5.118114
-203.672108,12,5.133273
-262.207048,12,5.1499
-379.502618,12,5.161248
-173.55335,12,5.178082
-323.235951,12,5.18955
-273.241475,12,5.205839
-226.027677,12,5.219929
-354.336906,12,5.233469
-178.816794,12,5.2498
-219.426583,12,5.266689
-182.081238,12,5.280324
-227.806021,12,5.294239
-339.796808,12,5.307913
-250.385732,12,5.321174
-329.069898,12,5.333367
-300.314263,12,5.348044
-289.880768,12,5.361642
-228.094331,12,5.378361
-246.736914,12,5.392409
-279.898597,12,5.404977
-340.333369,12,5.418032
-348.406984,12,5.433644
-282.651009,12,5.447756
-274.337131,12,5.461097
-145.104873,12,5.476201
-300.01338,12,5.489411
-341.871925,12,5.510805
-272.186616,12,5.526485
-291.354871,12,5.545705
-241.75369,12,5.561421
-217.339719,12,5.57967
-343.735333,12,5.595153
-269.919079,12,5.610836
-259.558839,12,5.621291
-276.270662,12,5.642774
-287.862418,12,5.658391
-204.024917,12,5.676419
-157.673459,12,5.694142
-136.965098,12,5.710204
-188.966697,12,5.731001
-178.373269,12,5.744039
-263.284618,12,5.760977
-183.920139,12,5.774557
-351.535168,12,5.793659
-124.598327,12,5.808151
-129.083801,12,5.824175
-238.654461,12,5.838879
-204.03688,12,5.852728
-323.073167,12,5.865684
-332.396511,12,5.87774
-328.644239,12,5.893408
-301.854961,12,5.908028
-299.242414,12,5.919699
-303.031389,12,5.933449
-165.303546,12,5.947865
-253.26369,12,5.962161
-289.428933,12,5.973302
-283.144353,12,5.989481
-280.260355,12,6.002901
-183.762178,12,6.018145
-350.479598,12,6.028457
-401.43711,12,6.048174
-259.352601,12,6.062216
-317.580131,12,6.076075
-215.166316,12,6.089684
-310.832892,12,6.100191
-274.464506,12,6.11804
-177.854633,12,6.133458
-302.956753,12,6.149696
-254.748035,12,6.161284
-349.291847,12,6.176912
-250.721672,12,6.19199
-222.138352,12,6.204562
-232.866316,12,6.218131
-326.870772,12,6.233295
-199.501471,12,6.250329
-295.831744,12,6.266769
-317.267134,12,6.278365
-306.985048,12,6.297753
-306.483491,12,6.31405
-242.792891,12,6.330715
-245.701005,12,6.352161
-282.607468,12,6.367901
-255.298713,12,6.382743
-319.492197,12,6.39783
-292.182427,12,6.410987
-231.874997,12,6.423465
-153.097082,12,6.440173
-266.090748,12,6.456806
-317.093306,12,6.469629
-285.667619,12,6.479406
-326.15825,12,6.495501
-317.216595,12,6.510341
-229.551904,12,6.523066
-327.469415,12,6.538155
-215.012193,12,6.55996
