#{"t_start": 1768115631.7627578, "env_id": "None"}
r,l,t
-83.61139,12,1.587084
4.079036,12,1.602607
-69.754317,12,1.606239
-77.28246,12,1.622166
-166.189914,12,1.637207
-106.376254,12,1.647938
-145.801777,12,1.665332
-101.766865,12,1.667858
-96.207205,12,1.690599
-20.607922,12,1.704725
-12.47356,12,1.718633
-99.751245,12,1.732676
-56.065842,12,1.746861
9.224871,12,1.76049
-109.663322,12,1.771012
-23.736889,12,1.785251
-146.41589,12,1.79809
-109.108614,12,1.809198
-38.386909,12,1.820535
-43.966649,12,1.838852
-73.324821,12,1.854733
1.643891,12,1.875003
-121.149671,12,1.893399
-36.826049,12,1.909845
-89.805816,12,1.922218
-107.502687,12,1.930379
-94.183765,12,1.937021
-65.0466,12,1.954649
-127.031944,12,1.966256
-137.042613,12,1.979838
-58.659099,12,1.98942
-85.812087,12,2.000735
-144.268085,12,2.013176
-73.558193,12,2.029315
-123.122009,12,2.040397
-90.843027,12,2.049945
-10.07403,12,2.058231
-164.271031,12,2.071892
17.747212,12,2.082778
-105.114067,12,2.095342
-11.587677,12,2.107752
-93.777532,12,2.117775
-54.453063,12,2.132117
-74.352924,12,2.142412
-120.917628,12,2.155231
-137.050998,12,2.166329
-108.640547,12,2.176915
-3.040417,12,2.187504
-82.81729,12,2.197403
-12.88214,12,2.211508
-25.448175,12,2.222177
-87.392244,12,2.23385
-80.688733,12,2.244936
-32.889728,12,2.256487
-123.024799,12,2.269814
17.05077,12,2.280927
-89.748362,12,2.293036
-92.522571,12,2.305091
-79.168633,12,2.320516
-142.690107,12,2.328089
-150.523769,12,2.344669
-85.274708,12,2.356365
-167.469801,12,2.371997
-12.423142,12,2.38472
-100.092155,12,2.395275
-64.494909,12,2.405371
-163.181836,12,2.41942
-53.525952,12,2.432334
-115.955127,12,2.442932
-141.492189,12,2.454705
-22.580894,12,2.466309
-117.189143,12,2.477466
-29.062222,12,2.487665
16.0404,12,2.497766
-84.682648,12,2.509833
-73.677118,12,2.519919
18.451077,12,2.529501
-80.707388,12,2.548645
-126.695109,12,2.559017
-136.22751,12,2.57133
-25.101862,12,2.581382
-61.763754,12,2.59267
-69.076778,12,2.604215
-70.841915,12,2.615381
-113.381083,12,2.626447
-58.083681,12,2.63897
17.818556,12,2.651201
-143.6198,12,2.663311
-15.447388,12,2.673897
-93.081743,12,2.682465
-48.007573,12,2.692791
-60.936168,12,2.703908
-122.30445,12,2.719822
-134.901643,12,2.724024
-67.439163,12,2.742978
-139.934318,12,2.756614
-72.327149,12,2.767719
-157.369642,12,2.777256
-57.700909,12,2.790229
-123.562342,12,2.801338
6.948375,12,2.811879
-97.82896,12,2.822009
-70.394325,12,2.832603
-123.683803,12,2.845253
-66.232175,12,2.856394
-77.755337,12,2.866453
17.449955,12,2.877087
-90.703222,12,2.886635
-98.318338,12,2.904934
19.123376,12,2.919094
-35.627298,12,2.929145
-130.224367,12,2.940711
-140.516812,12,2.94754
-14.972417,12,2.968309
-135.315159,12,2.9836
-149.583353,12,2.995471
-56.10757,12,3.005766
-130.205922,12,3.017294
-41.562106,12,3.029094
18.012338,12,3.0442
-79.001126,12,3.062285
-170.86617,12,3.074598
-134.456024,12,3.088694
-42.214898,12,3.099252
-90.126578,12,3.108788
-101.904021,12,3.121006
-64.288225,12,3.131575
-69.955659,12,3.141331
-79.241389,12,3.157295
-122.427357,12,3.172432
-3.238764,12,3.187593
15.72716,12,3.20115
-117.191374,12,3.215357
18.391259,12,3.226417
-136.588263,12,3.237353
-124.330149,12,3.249779
-53.638956,12,3.259984
-25.631476,12,3.271617
-10.763333,12,3.282611
-77.132436,12,3.287222
-80.289188,12,3.308172
-17.432091,12,3.320011
-115.441359,12,3.33122
-82.788568,12,3.342973
-56.913135,12,3.354131
-76.787813,12,3.363668
-142.141228,12,3.37602
16.416214,12,3.388128
-141.27485,12,3.400328
-112.006344,12,3.410365
-106.176727,12,3.423462
-68.671498,12,3.435053
-95.053587,12,3.446672
-78.697328,12,3.456818
-170.797838,12,3.468927
-120.561198,12,3.479101
-118.031409,12,3.491745
-93.188418,12,3.503318
-82.846103,12,3.513637
-59.815495,12,3.523696
-47.411458,12,3.539251
15.698627,12,3.550521
-120.487546,12,3.560822
-85.784068,12,3.571904
19.26276,12,3.581919
-43.21774,12,3.592103
-110.029878,12,3.602878
-111.057853,12,3.620605
-62.58255,12,3.623623
-66.634017,12,3.643102
-55.699369,12,4.872777
16.915783,12,4.882901
-49.092807,12,4.893056
-43.737765,12,4.906685
18.53903,12,4.915676
-9.032588,12,4.928323
-53.857283,12,4.938901
-0.45998,12,4.94996
-41.740129,12,4.967114
-88.535012,12,4.982741
-166.719581,12,4.994934
-30.692611,12,5.005014
-119.464732,12,5.016395
-109.580349,12,5.025416
-102.769663,12,5.041125
-34.687499,12,5.052097
-88.312557,12,5.056108
-61.428489,12,5.066296
18.185529,12,5.086944
-55.58105,12,5.097351
-140.74398,12,5.111503
-57.197172,12,5.117557
3.344123,12,5.129454
12.766197,12,5.143263
-118.795821,12,5.148386
-89.649128,12,5.168832
-8.3797,12,5.18324
-30.088881,12,5.195011
-18.638708,12,5.206599
-92.993815,12,5.217855
-21.78922,12,5.230754
-61.684631,12,5.247042
-26.986303,12,5.260101
-110.899356,12,5.27199
-117.915631,12,5.286718
-74.363685,12,5.296622
-165.07053,12,5.309142
-44.892645,12,5.320682
-92.167344,12,5.332797
-105.620022,12,5.343362
-134.796292,12,5.353507
18.582936,12,5.365674
-82.268033,12,5.373708
-119.8315,12,5.386964
-29.873655,12,5.395944
-26.619429,12,5.415442
-83.707232,12,5.427529
-29.827917,12,5.439111
-108.04691,12,5.451416
-59.681727,12,5.464979
17.024132,12,5.476121
12.776701,12,5.487233
-34.825261,12,5.496868
-143.110666,12,5.515314
-90.673516,12,5.526123
-90.27169,12,5.540492
-88.536349,12,5.548164
-34.337514,12,5.565276
-77.456727,12,5.569344
-74.540464,12,5.589376
3.827512,12,5.604267
-7.936164,12,5.619883
-19.207472,12,5.634391
-93.705358,12,5.649858
-24.453708,12,5.663552
-138.1274,12,5.679128
-7.483132,12,5.691814
-96.463881,12,5.701913
14.040569,12,5.715053
-84.120772,12,5.725576
-50.550365,12,5.741296
-22.326676,12,5.755889
-41.161409,12,5.771465
-58.063494,12,5.782039
-106.638914,12,5.794095
-46.318746,12,5.805372
-66.794504,12,5.815922
-204.084823,12,5.8265
-97.34435,12,5.843726
17.629197,12,5.857883
-43.021737,12,5.872981
-107.810836,12,5.885184
-44.514218,12,5.897833
-65.334421,12,5.909983
2.733865,12,5.923654
-51.610082,12,5.932573
-46.446016,12,5.940621
13.295487,12,5.961441
-88.462816,12,5.971656
-98.63305,12,5.984037
-81.197142,12,5.997608
-32.017016,12,6.00999
-92.8457,12,6.021528
-106.215986,12,6.033098
-67.75893,12,6.047018
-80.501096,12,6.06084
-114.277673,12,6.076736
-50.758553,12,6.089689
-104.923077,12,6.102295
-18.481938,12,6.115826
-59.800133,12,6.12863
-14.49175,12,6.141409
-53.212378,12,6.155324
-50.038012,12,6.170969
4.055098,12,6.179114
-39.432936,12,6.194638
-15.494069,12,6.20868
-132.423641,12,6.220878
-60.209225,12,6.231682
-34.656156,12,6.241754
-141.666069,12,6.253863
-164.277423,12,6.265413
-10.272945,12,6.276037
11.116581,12,6.288798
8.2749,12,6.300543
-139.496245,12,6.312577
-77.881167,12,6.324121
-39.516658,12,6.334731
-112.520845,12,6.345282
-77.133258,12,6.358427
-123.575316,12,6.368979
-103.255507,12,6.382069
-144.29011,12,6.396984
-42.346765,12,6.408568
-40.634716,12,6.419088
-32.909696,12,6.430699
-127.97944,12,6.443258
-70.731,12,6.454901
-68.391616,12,6.465423
-27.91323,12,6.473664
-51.691841,12,6.489295
-60.458737,12,6.494094
-4.331638,12,6.51539
-94.628737,12,6.526998
-115.610985,12,6.544972
-71.171946,12,6.555194
-115.493221,12,6.56628
-31.385997,12,6.575316
10.902149,12,6.586791
-67.729841,12,6.597709
-113.417481,12,6.616742
-62.741717,12,6.629565
-61.852084,12,6.641113
-104.321628,12,6.653194
-64.792241,12,6.665278
-124.211892,12,6.676369
-34.217168,12,6.687932
-64.89262,12,6.700119
-143.270903,12,6.710658
-62.563708,12,6.723684
-50.11696,12,6.737248
-14.960527,12,6.748364
-84.683613,12,6.759383
19.19553,12,6.770961
-131.545507,12,6.781541
-83.355441,12,6.791641
-5.708174,12,6.804325
-5.489948,12,6.815377
-11.627286,12,6.827094
-9.315169,12,6.840183
-80.980715,12,6.850394
-69.824137,12,6.864486
-107.886211,12,6.870985
-100.84598,12,6.886642
-67.612973,12,6.896804
-129.504399,12,6.901331
-112.563814,12,6.915757
-68.581725,12,6.932576
-118.909969,12,6.945395
-21.553539,12,6.959012
9.655502,12,6.973681
-119.88942,12,8.257483
-39.143711,12,8.269611
-25.542936,12,8.283112
-34.28227,12,8.292823
14.150981,12,8.300438
18.63556,12,8.322722
18.43093,12,8.336684
18.148846,12,8.350413
-41.656496,12,8.362705
-1.251168,12,8.374523
-61.256188,12,8.387331
10.579047,12,8.401558
-17.849991,12,8.415386
14.70343,12,8.428477
17.536772,12,8.441282
19.201647,12,8.457037
-4.342506,12,8.465194
-14.656041,12,8.476315
18.336776,12,8.49663
8.54203,12,8.510757
-4.959562,12,8.523906
-82.73055,12,8.539546
-81.45937,12,8.551906
-29.159118,12,8.570284
17.804211,12,8.585694
-54.946978,12,8.599902
-56.042231,12,8.617961
-84.299996,12,8.633725
-57.078094,12,8.647223
-85.41599,12,8.660899
16.578756,12,8.674004
-8.649664,12,8.682396
-83.592665,12,8.700547
18.152083,12,8.715649
-103.005193,12,8.728657
-71.859285,12,8.741225
18.888265,12,8.754277
-94.359876,12,8.767372
-13.75362,12,8.780463
2.680228,12,8.793044
12.011855,12,8.806938
-22.721819,12,8.820675
-80.807794,12,8.838302
-71.558196,12,8.851486
-6.006173,12,8.867072
-32.336534,12,8.88235
-78.316076,12,8.893952
-60.325565,12,8.90908
-71.861442,12,8.923448
-53.237381,12,8.937523
-21.059036,12,8.950885
-32.658707,12,8.962172
18.448359,12,8.974236
11.593197,12,8.984774
-10.912745,12,8.998348
-14.735909,12,9.009921
-96.186508,12,9.018752
-94.404385,12,9.033169
-37.695074,12,9.048702
16.12738,12,9.061872
-64.661779,12,9.076971
-50.005852,12,9.089023
16.377326,12,9.100626
-124.922578,12,9.112935
17.290341,12,9.125991
-83.268415,12,9.139951
-66.365045,12,9.152105
-46.626944,12,9.165118
-40.058659,12,9.173067
-42.982262,12,9.187857
-44.13072,12,9.203904
7.551438,12,9.217055
3.575363,12,9.231795
-77.149702,12,9.245204
-6.690213,12,9.259637
-66.038381,12,9.277882
-26.918111,12,9.29133
-24.101924,12,9.308289
-115.631049,12,9.321216
6.552328,12,9.329199
-103.962888,12,9.347809
-107.185177,12,9.358876
-46.075421,12,9.370445
17.358821,12,9.386953
18.685471,12,9.403213
-112.88284,12,9.417191
17.602218,12,9.429738
8.949436,12,9.441053
-38.308008,12,9.454182
-66.655843,12,9.465444
-33.178489,12,9.471846
-2.013163,12,9.492495
-60.257431,12,9.50263
-68.957334,12,9.515662
17.952487,12,9.5292
18.566214,12,9.536851
17.738739,12,9.553059
-34.272355,12,9.565407
-48.081493,12,9.578501
-20.126511,12,9.595643
-23.227356,12,9.609442
-43.891187,12,9.616258
6.195227,12,9.635106
-64.95515,12,9.64721
18.553646,12,9.661786
-39.081099,12,9.67339
-32.677331,12,9.686932
-35.850083,12,9.698439
-94.822712,12,9.715677
-44.829927,12,9.728472
-7.544308,12,9.739041
17.629446,12,9.751102
18.259514,12,9.76339
-15.571259,12,9.776443
-50.557446,12,9.792546
-84.805007,12,9.805612
-80.111813,12,9.821162
-14.899681,12,9.837314
-41.826507,12,9.85136
-10.97078,12,9.862124
6.648343,12,9.87426
-116.779363,12,9.88662
18.610508,12,9.897583
18.200622,12,9.912537
-60.289125,12,9.923611
-33.886768,12,9.938993
-167.125844,12,9.95417
19.594878,12,9.96986
18.672942,12,9.97499
-68.628528,12,9.990156
10.85056,12,10.007847
17.010994,12,10.021871
-9.350365,12,10.043545
16.381376,12,10.056637
-38.194175,12,10.070703
-11.76016,12,10.084705
-94.538917,12,10.098431
-34.435135,12,10.110758
18.219725,12,10.121134
16.606393,12,10.130192
-108.369946,12,10.147751
-98.542355,12,10.150475
-24.082856,12,10.173036
-102.621039,12,10.188872
9.349092,12,10.202407
-86.216332,12,10.214731
16.550639,12,10.225929
-38.787346,12,10.240818
-13.274541,12,10.25783
-78.148285,12,10.272235
-28.534161,12,10.274246
18.01553,12,10.294755
-22.197709,12,10.30493
-96.314106,12,10.315241
-66.613668,12,10.328592
-49.294155,12,10.340352
-47.100969,12,10.351874
-63.60912,12,10.362961
18.312176,12,10.377921
-44.948873,12,10.392529
-56.554304,12,10.400724
-104.205208,12,10.415589
0.218759,12,10.430147
-74.464479,12,10.439633
-25.207077,12,10.452047
-99.409065,12,10.465131
-152.208304,12,10.483985
14.376654,12,10.495101
-122.322691,12,10.50532
15.055566,12,10.515637
-125.256969,12,10.527189
-41.554136,12,11.765436
-66.940786,12,11.778429
18.762954,12,11.796503
18.065868,12,11.807203
16.91709,12,11.823056
-68.163485,12,11.836607
-29.809301,12,11.847803
-24.161874,12,11.86533
-7.659777,12,11.870683
-38.447408,12,11.888585
-2.057971,12,11.902416
18.764644,12,11.922833
-57.127846,12,11.940077
18.430153,12,11.966883
18.905718,12,11.981612
-76.88955,12,11.99755
18.0981,12,12.003204
-98.016644,12,12.021843
-35.133154,12,12.037435
-9.669229,12,12.052822
-50.422676,12,12.0651
-52.71466,12,12.075901
15.809406,12,12.091538
8.652075,12,12.099605
-53.710404,12,12.115088
-21.006393,12,12.127205
19.600781,12,12.144968
-27.322531,12,12.157912
-107.411171,12,12.169808
18.878714,12,12.18439
-37.038807,12,12.198002
3.251896,12,12.209285
5.299485,12,12.218425
-12.598024,12,12.238554
-47.446274,12,12.248114
-39.551013,12,12.265468
-123.700644,12,12.279226
16.914994,12,12.289664
17.113443,12,12.299739
18.474116,12,12.316279
-20.04675,12,12.328862
-13.303947,12,12.340956
19.117814,12,12.353281
-4.021585,12,12.367704
-61.819846,12,12.381796
8.268789,12,12.396139
-35.912762,12,12.408838
17.758227,12,12.419358
-20.024782,12,12.429402
16.203373,12,12.441211
-100.903752,12,12.456786
15.841429,12,12.471069
-9.596563,12,12.487583
17.583718,12,12.500389
8.346027,12,12.517745
18.896701,12,12.529802
-7.92147,12,12.542907
0.878981,12,12.556535
7.217308,12,12.571142
-31.591703,12,12.581159
-1.282626,12,12.597571
18.332859,12,12.609782
-18.966605,12,12.621909
18.171983,12,12.631975
-45.965485,12,12.644633
-15.216181,12,12.663922
13.027204,12,12.675028
-55.418739,12,12.687146
-73.437674,12,12.701088
-43.545101,12,12.712515
-63.389184,12,12.725064
-5.182798,12,12.73684
-47.593558,12,12.747481
-1.926011,12,12.759299
-19.171879,12,12.772842
-30.993625,12,12.784129
17.460134,12,12.792342
18.020152,12,12.80548
17.250883,12,12.823796
-22.881042,12,12.83636
18.280052,12,12.8459
0.88327,12,12.85775
17.348265,12,12.869798
18.143491,12,12.879696
-22.495993,12,12.893263
-27.649612,12,12.907675
-57.252508,12,12.924226
-50.030728,12,12.938809
18.791407,12,12.951915
16.983027,12,12.96496
13.063412,12,12.9765
-62.641538,12,12.987314
18.795968,12,12.999387
18.27042,12,13.011504
-91.640932,12,13.022194
6.266578,12,13.036845
18.164678,12,13.049023
5.557894,12,13.061171
-20.998431,12,13.073999
-79.692112,12,13.086021
-26.750552,12,13.097427
17.923308,12,13.105559
11.919777,12,13.115
-21.665735,12,13.132246
-51.661856,12,13.148436
-29.522531,12,13.161105
16.287397,12,13.172242
-35.878036,12,13.183317
16.020451,12,13.194427
-42.759114,12,13.20753
-9.040356,12,13.215619
7.524991,12,13.230913
13.997935,12,13.243755
-13.023582,12,13.25707
18.936026,12,13.265733
18.073043,12,13.284761
18.641833,12,13.295734
15.922088,12,13.305315
-36.187677,12,13.315351
-47.865104,12,13.33254
16.502693,12,13.344827
15.660267,12,13.358113
-24.016581,12,13.370677
18.387399,12,13.384265
-100.943632,12,13.395938
16.362788,12,13.407782
-13.857663,12,13.418308
-19.8219,12,13.43049
-22.053646,12,13.442819
-4.457712,12,13.454473
