#{"t_start": 1764024509.8966324, "env_id": "None"}
r,l,t
-67.214814,12,1.104585
-21.752767,12,1.118659
-61.207079,12,1.118659
-63.48486,12,1.134972
-108.417231,12,1.154064
-78.486824,12,1.164597
-97.509449,12,1.177298
-75.732962,12,1.18583
-76.207082,12,1.18583
-35.769345,12,1.213738
-31.425193,12,1.226399
-75.693081,12,1.240681
-53.777434,12,1.251703
-26.632869,12,1.265611
-79.651047,12,1.27856
-39.222688,12,1.287058
-100.015507,12,1.302556
-76.553855,12,1.315094
-44.567846,12,1.331334
-41.033404,12,1.343274
-66.388341,12,1.355086
-5.508238,12,1.365628
-87.952858,12,1.376917
-46.321686,12,1.387018
-72.701596,12,1.387018
-79.384606,12,1.409871
-71.693388,12,1.421319
-58.63479,12,1.431319
-89.979265,12,1.448066
-93.888592,12,1.461081
-54.495984,12,1.474709
-64.579586,12,1.487566
-99.977314,12,1.487566
-64.615137,12,1.5095
-86.815798,12,1.52131
-73.930414,12,1.532309
-32.158999,12,1.539392
-107.416037,12,1.560126
16.78952,12,1.572513
-77.628898,12,1.585516
-31.787879,12,1.587341
-72.98393,12,1.607578
-55.421463,12,1.61797
-57.828333,12,1.631245
-84.456722,12,1.634986
-94.891455,12,1.655545
-79.385817,12,1.667091
-7.844594,12,1.680024
-67.071578,12,1.691702
-33.400785,12,1.703842
-31.039946,12,1.717434
-71.182333,12,1.730273
-65.7728,12,1.734923
-41.431201,12,1.752509
-87.757447,12,1.765518
-1.32583,12,1.780036
-66.708534,12,1.78572
-74.19432,12,1.805284
-65.724592,12,1.815294
-96.53281,12,1.82649
-102.73228,12,1.835306
-70.066837,12,1.835306
-109.100364,12,1.859098
-34.997645,12,1.8692
-72.483877,12,1.880205
-59.67487,12,1.894014
-106.850553,12,1.908448
-49.312196,12,1.920307
-86.04171,12,1.933312
-97.447972,12,1.943851
-33.317785,12,1.954567
-83.701238,12,1.964608
-39.572682,12,1.978286
5.927161,12,1.99207
-66.016421,12,2.005186
-60.329894,12,2.015717
15.273477,12,2.033357
-67.867532,12,2.039775
-88.727335,12,2.062012
-95.478834,12,2.075344
-39.850356,12,2.086985
-55.606467,12,2.10162
-63.154327,12,2.122511
-63.101977,12,2.133502
-82.07934,12,2.135267
-57.250862,12,2.155623
2.181653,12,2.168272
-97.792021,12,2.181286
-30.981738,12,2.195583
-71.560317,12,2.207825
-52.843781,12,2.218426
-49.116052,12,2.22946
-89.375075,12,2.235271
-93.281886,12,2.257207
-58.279386,12,2.268256
-97.647532,12,2.281572
-63.772263,12,2.290602
-103.11699,12,2.309739
-55.797411,12,2.321309
-86.550277,12,2.331309
-16.046128,12,2.345136
-74.632365,12,2.357726
-61.002708,12,2.370313
-88.427159,12,2.380958
-59.607561,12,2.392371
-57.938229,12,2.407202
-2.539098,12,2.418274
-70.595801,12,2.42931
-71.497612,12,2.434951
3.141894,12,2.455489
-43.763675,12,2.466053
-90.550072,12,2.477236
-95.466125,12,2.484864
-18.252271,12,2.484864
-91.594936,12,2.511541
-99.120188,12,2.524749
-49.597031,12,2.53518
-90.351842,12,2.540476
-47.191061,12,2.559617
8.209812,12,2.573144
-68.544987,12,2.583143
-111.393593,12,2.594713
-91.89918,12,2.605555
-47.222894,12,2.616595
-70.894814,12,2.628165
-78.362651,12,2.635201
-61.922533,12,2.649864
-58.947326,12,2.661531
-63.946068,12,2.672887
-85.340079,12,2.68949
-14.033537,12,2.702454
16.324238,12,2.716475
-86.738025,12,2.731391
5.338423,12,2.748221
-93.388293,12,2.765283
-85.124303,12,2.778894
-56.476999,12,2.79103
-29.35737,12,2.808328
-26.57782,12,2.822763
-63.844299,12,2.833763
-63.948431,12,2.836632
-29.124725,12,2.861008
-82.889825,12,2.87292
-64.692726,12,2.88392
-50.835888,12,2.887603
-63.594293,12,2.911529
-94.368503,12,2.922738
11.583901,12,2.934989
-97.052581,12,2.9462
-81.735739,12,2.95905
-77.821776,12,2.97042
-57.56303,12,2.983517
-76.480986,12,2.993921
-61.361186,12,3.005256
-112.766932,12,3.018466
-87.14988,12,3.018466
-84.404,12,3.046869
-71.085011,12,3.058572
-67.622683,12,3.06935
-55.623398,12,3.07935
-43.387727,12,3.085169
-21.868599,12,3.106993
-86.753151,12,3.123022
-68.936558,12,3.134886
19.859408,12,3.137424
-46.520909,12,3.160825
-79.680446,12,3.174333
-81.100615,12,3.185558
-47.309554,12,3.195879
-51.480379,12,3.209161
-57.608448,12,4.403328
-21.280077,12,4.413339
-51.769115,12,4.424471
-47.420807,12,4.434947
-14.458846,12,4.434947
-24.302013,12,4.458786
-53.111578,12,4.472067
-6.292598,12,4.48492
-46.707247,12,4.48492
-71.736225,12,4.510717
-106.966491,12,4.522519
-41.480231,12,4.532523
-84.469806,12,4.542078
-79.857536,12,4.555156
-76.573782,12,4.567869
-40.355111,12,4.580523
-72.127385,12,4.596813
-53.791871,12,4.607808
18.878519,12,4.619423
