#{"t_start": 1764028923.597957, "env_id": "None"}
r,l,t
-170.377608,12,1.096477
-15.422277,12,1.10593
-84.865648,12,1.12222
-133.311709,12,1.13162
-182.676073,12,1.146357
-100.5728,12,1.156388
-115.858112,12,1.162865
-161.529248,12,1.181717
-110.470768,12,1.198874
-21.496905,12,1.213485
-131.914106,12,1.216319
-190.576804,12,1.233903
-66.925735,12,1.250591
-85.42529,12,1.263792
-90.624387,12,1.266791
-184.135577,12,1.284433
-201.004778,12,1.297068
-157.103757,12,1.305601
-164.582279,12,1.317917
-139.21034,12,1.333822
-187.185596,12,1.347313
-166.044449,12,1.356395
-214.394771,12,1.367304
-166.006301,12,1.380221
-88.445353,12,1.383188
-177.024587,12,1.400155
-178.848903,12,1.412927
-189.522263,12,1.416995
-164.703488,12,1.439086
-161.206783,12,1.450925
-136.501443,12,1.462356
-177.753351,12,1.470846
-76.10145,12,1.484503
-153.647206,12,1.497265
-185.88852,12,1.506322
-164.797773,12,1.516711
-111.457803,12,1.529379
-211.75149,12,1.537447
-160.946666,12,1.550828
-152.831417,12,1.564594
-136.965027,12,1.567594
-99.90817,12,1.578914
-228.211567,12,1.598915
-191.096908,12,1.610591
-220.588451,12,1.621163
-7.019292,12,1.629622
-46.280317,12,1.629622
-192.162297,12,1.653951
-172.486319,12,1.667718
-153.829256,12,1.678722
-155.683927,12,1.691837
-140.699684,12,1.700169
-194.324166,12,1.713048
-124.909763,12,1.7238
-42.306648,12,1.737492
-130.558953,12,1.74456
-186.882868,12,1.75595
-221.399706,12,1.763136
-137.131872,12,1.779347
-202.336895,12,1.793103
-178.831231,12,1.806013
15.862758,12,1.815959
-138.662632,12,1.828237
-144.301427,12,1.828552
-113.086099,12,1.850682
-70.060519,12,1.861978
-73.84345,12,1.874524
-183.442041,12,1.879436
-47.0258,12,1.901124
-193.541007,12,1.912722
-125.669461,12,1.912722
-170.186992,12,1.927316
14.501148,12,1.949531
-127.148028,12,1.961752
-45.225161,12,1.973242
-165.4526,12,1.979075
-82.054099,12,1.994523
-139.755275,12,2.013002
-102.148275,12,2.028061
-149.658053,12,2.040156
-106.563159,12,2.052103
-135.016848,12,2.063798
-89.468764,12,2.073802
-197.31637,12,2.087868
-169.614766,12,2.098842
-108.358255,12,2.110723
-167.329542,12,2.111969
-130.505251,12,2.134272
-171.937164,12,2.144387
-37.945939,12,2.156375
-200.299241,12,2.167915
-151.771917,12,2.179131
14.41336,12,2.195272
-129.920293,12,2.198867
-174.60459,12,2.212406
-167.621144,12,2.228018
-236.590731,12,2.228018
-58.23943,12,2.255761
-119.733101,12,2.26628
-188.13426,12,2.27716
-177.148362,12,2.280031
-182.736447,12,2.30108
-156.996156,12,2.310681
-202.202047,12,2.312985
-185.190783,12,2.327512
-154.718539,12,2.34323
-191.893959,12,2.348553
-84.871673,12,2.362808
-201.24292,12,2.378958
-172.014622,12,2.393976
-70.935151,12,2.406205
-199.477271,12,2.42029
-212.262735,12,2.427824
-143.77759,12,2.445944
-207.385991,12,2.456233
-151.427911,12,2.466925
17.966203,12,2.48068
-180.268416,12,2.495567
-143.917058,12,2.505676
-129.298672,12,2.51199
-186.929939,12,2.527263
-143.11323,12,2.527263
-169.79917,12,2.54961
-230.098881,12,2.562181
-99.991145,12,2.562181
-150.354223,12,2.578003
-179.036824,12,2.596402
-46.552671,12,2.606306
-106.737798,12,2.617121
-172.903696,12,2.629397
-158.25107,12,2.630499
-112.461623,12,2.650499
-223.925275,12,2.661937
-121.256443,12,2.675474
-143.1122,12,2.683676
-95.699902,12,2.698857
-174.989576,12,2.711984
-168.776902,12,2.711984
-154.306658,12,2.727298
-81.210437,12,2.747569
-178.694459,12,2.755842
-105.015501,12,2.770853
-178.552827,12,2.778355
-92.386976,12,2.793192
-189.693473,12,2.806438
-201.322863,12,2.813335
-165.910783,12,2.82934
-198.64932,12,2.84401
-195.170181,12,2.85558
-129.066939,12,2.867751
-204.716434,12,2.880605
-141.148882,12,2.890609
-199.798434,12,2.902401
-119.815169,12,2.914323
-213.389149,12,2.926651
-226.501738,12,2.927624
-26.189133,12,2.948718
-74.759383,12,2.955647
-103.815703,12,2.961907
-120.118141,12,2.977136
-145.34284,12,2.977136
-64.068886,12,2.998695
-148.636265,12,3.01222
-130.86672,12,3.01273
-147.90576,12,3.035391
-149.072766,12,3.046825
-139.27121,12,3.058833
-107.750588,12,3.07002
-70.125542,12,3.077342
-182.024989,12,3.077342
-100.518617,12,4.112336
-162.026144,12,4.127425
-182.862438,12,4.146535
-69.10541,12,4.162645
-98.210186,12,4.180857
-109.504319,12,4.197133
-162.917514,12,4.209473
-128.31898,12,4.217891
-186.517858,12,4.22791
-199.110222,12,4.245157
-201.312192,12,4.256773
-100.558518,12,4.269945
-107.845323,12,4.279731
-81.186722,12,4.296294
-133.148039,12,4.308045
-56.267402,12,4.316295
-202.376288,12,4.327185
11.089708,12,4.343767
-31.600704,12,4.348832
-54.11804,12,4.36206
-147.342126,12,4.377054
-29.003284,12,4.377054
-19.306641,12,4.39885
14.858049,12,4.413506
-59.601013,12,4.417088
-144.018956,12,4.428213
-85.941397,12,4.446316
-95.653417,12,4.456357
-85.805596,12,4.467239
-127.935546,12,4.477297
-114.114362,12,4.477297
8.999641,12,4.498885
-87.383406,12,4.512069
-91.621608,12,4.526078
-232.423789,12,4.526946
-16.990297,12,4.546071
-221.363278,12,4.555719
-128.269161,12,4.562259
-96.055458,12,4.576954
-161.101661,12,4.576954
-53.660701,12,4.600675
-57.267194,12,4.612268
-54.604942,12,4.612268
-100.241913,12,4.628278
-213.539076,12,4.650044
-70.159479,12,4.661185
-163.294401,12,4.670868
-147.896187,12,4.677731
-162.642532,12,4.693701
-49.800703,12,4.699654
-141.942377,12,4.712538
-113.787362,12,4.726093
-214.516853,12,4.726972
-227.757409,12,4.750083
-155.671734,12,4.762011
-142.133314,12,4.762011
-4.164232,12,4.777665
-147.443797,12,4.798825
-197.5317,12,4.811394
-128.791528,12,4.821652
-114.734952,12,4.827283
-114.737723,12,4.844559
-122.960286,12,4.855884
-219.036953,12,4.8693
-154.41089,12,4.881244
-95.981248,12,4.893663
-167.041945,12,4.89928
-135.733214,12,4.913677
-82.314743,12,4.913677
-34.183773,12,4.935707
1.474021,12,4.944506
-35.8298,12,4.957826
-52.861995,12,4.962693
-164.50386,12,4.97923
-51.328946,12,4.992846
-174.151733,12,5.005896
-3.997657,12,5.013693
-30.447497,12,5.028414
-146.182998,12,5.028933
-62.503343,12,5.051306
-191.457113,12,5.06207
-186.396276,12,5.072074
-113.282345,12,5.07768
-143.487899,12,5.096704
-161.343361,12,5.108269
-170.61609,12,5.114817
-8.764756,12,5.127777
-140.446895,12,5.127777
-128.908941,12,5.148774
-127.560853,12,5.162893
-146.154969,12,5.178272
-15.557169,12,5.186346
-192.084492,12,5.198712
-159.901419,12,5.215949
-89.236063,12,5.227001
-160.480498,12,5.243496
-105.776912,12,5.254258
-143.787426,12,5.26511
-176.834883,12,5.276642
-71.312598,12,5.278638
-105.840398,12,5.298686
-153.76884,12,5.314896
-205.149664,12,5.327054
-73.957753,12,5.328743
-81.415133,12,5.350853
-136.364037,12,5.36197
-180.193641,12,5.362601
-66.047012,12,5.378676
-158.685794,12,5.394638
-193.339809,12,5.39854
-199.327744,12,5.416835
-152.295115,12,5.43096
-86.419338,12,5.440987
-103.1036,12,5.452048
-86.902813,12,5.464205
-70.457325,12,5.476996
-197.09314,12,5.478745
-156.278763,12,5.498982
-91.239282,12,5.511916
-8.51872,12,5.512528
-116.881855,12,5.528539
-167.361498,12,5.543547
-149.246693,12,5.556067
-172.557339,12,5.562709
-171.62958,12,5.578896
-64.68416,12,5.578896
-178.104109,12,5.602418
-57.836804,12,5.61235
-5.999638,12,5.61235
-187.162016,12,5.628538
-161.418898,12,5.646625
-122.403393,12,5.660414
-63.48896,12,5.67207
-114.379085,12,5.678868
-112.202343,12,5.694621
-55.769932,12,5.706116
-196.97833,12,5.719916
-34.214453,12,5.729486
-81.17205,12,5.729486
-69.65355,12,5.749179
-124.597534,12,5.764859
-29.315608,12,5.774609
-70.66857,12,5.779741
-126.718009,12,5.798602
-205.60785,12,5.812486
-144.678618,12,5.812486
-210.884227,12,5.828728
-94.033933,12,5.849023
-189.496064,12,5.862026
-176.99487,12,5.876992
-186.293204,12,5.876992
17.157901,12,5.898988
-187.15322,12,5.915987
-67.258704,12,5.926873
-26.900421,12,5.936885
-121.613453,12,5.948754
-95.339245,12,5.962404
-16.720498,12,5.962404
-52.806205,12,5.976754
-40.178212,12,5.998736
-85.006821,12,6.012113
-50.238359,12,6.026126
-48.329867,12,6.027654
-196.163529,12,6.051041
-137.87775,12,6.063293
-118.445226,12,6.075895
-104.32147,12,6.087193
-121.107065,12,6.098736
-192.565459,12,6.110401
-79.567454,12,6.112864
-120.568345,12,6.126785
15.856264,12,7.162875
-39.386435,12,7.162875
-209.79054,12,7.179003
-82.928749,12,7.193815
-113.985269,12,7.206168
-159.420738,12,7.212795
-24.214493,12,7.22934
-134.547997,12,7.243316
-1.507965,12,7.253824
4.949254,12,7.266392
-161.348327,12,7.276852
-104.851776,12,7.276852
-133.584338,12,7.299008
-118.587063,12,7.309558
-104.378189,12,7.312731
-161.433068,12,7.328978
-111.376862,12,7.343623
-65.877275,12,7.355603
-58.706016,12,7.362843
-104.629865,12,7.376641
15.118146,12,7.376641
-46.214131,12,7.398664
-155.061968,12,7.40568
-12.866731,12,7.418286
-119.000737,12,7.429409
-140.100163,12,7.429409
-149.538903,12,7.45391
-129.836069,12,7.466433
-99.838624,12,7.476817
-6.570746,12,7.476817
-88.673982,12,7.498942
-15.594622,12,7.512139
-169.064572,12,7.512673
-106.186553,12,7.528162
-76.343155,12,7.543999
-74.805172,12,7.548513
1.575343,12,7.562732
-66.591861,12,7.576632
-94.469344,12,7.593236
-67.307091,12,7.602993
-114.01219,12,7.612727
-1.669535,12,7.625735
-0.81143,12,7.628468
-136.280178,12,7.647786
-37.479155,12,7.658793
-158.283035,12,7.669422
-58.641156,12,7.678312
-171.811572,12,7.695403
-33.427666,12,7.710368
-190.094016,12,7.719882
-158.627782,12,7.728913
-8.756368,12,7.744543
-59.012988,12,7.756068
-177.95757,12,7.762713
-163.001686,12,7.776549
-136.934391,12,7.776549
-76.459124,12,7.798889
-45.469516,12,7.81467
-83.114947,12,7.82416
-145.276367,12,7.828889
2.398925,12,7.849564
-110.183583,12,7.860029
-90.085302,12,7.872448
-61.554834,12,7.876674
15.989071,12,7.893212
-28.035442,12,7.906251
-80.228671,12,7.912188
-74.271462,12,7.926547
-66.158444,12,7.926547
-74.591507,12,7.950668
14.970803,12,7.962227
-57.661978,12,7.962227
-69.783668,12,7.976704
10.090114,12,7.994828
-127.589991,12,8.005635
-78.800736,12,8.012025
-121.215546,12,8.031834
-114.398345,12,8.043252
-117.790331,12,8.053848
16.983945,12,8.065226
-10.752608,12,8.076718
-118.343552,12,8.088583
0.638366,12,8.099106
-122.648258,12,8.109878
-25.53573,12,8.121533
-107.242562,12,8.127201
-88.580621,12,8.14879
-76.205588,12,8.160188
-139.736044,12,8.172034
-115.926707,12,8.183373
-60.000215,12,8.196524
-99.88335,12,8.212059
-7.920714,12,8.212059
-16.970699,12,8.22787
-56.101268,12,8.247084
15.288827,12,8.257676
-68.018483,12,8.270669
-97.362098,12,8.278612
-27.37162,12,8.293827
-24.269892,12,8.306355
-53.638025,12,8.320379
17.568024,12,8.328555
-132.974625,12,8.328555
-29.197849,12,8.353233
-7.306485,12,8.363494
-86.377263,12,8.374484
-72.493478,12,8.388946
-167.240512,12,8.398831
-126.976154,12,8.41098
17.863332,12,8.418566
-134.432634,12,8.42797
-117.129924,12,8.444218
-112.41314,12,8.454951
-201.417509,12,8.468333
-103.35858,12,8.480865
-130.363683,12,8.491869
-89.728347,12,8.508019
-77.902968,12,8.523482
-163.969337,12,8.538754
-11.689128,12,8.554711
-119.541774,12,8.56283
-71.209532,12,8.577747
-147.493305,12,8.577747
-130.139718,12,8.598442
-26.805346,12,8.609488
-20.150378,12,8.611817
8.882412,12,8.626951
-27.816342,12,8.642878
-111.283533,12,8.656668
-207.482153,12,8.66884
-55.751962,12,8.680368
-38.090033,12,8.690941
-124.88427,12,8.698749
-137.670599,12,8.712077
-139.642842,12,8.712077
1.296446,12,8.726463
-86.647844,12,8.750846
-126.056237,12,8.763684
-102.543832,12,8.764209
-29.692614,12,8.776521
-74.47309,12,8.794114
-190.912465,12,8.80624
-119.521403,12,8.825147
-95.187337,12,8.829476
-78.147262,12,8.84909
-56.50896,12,8.861939
-62.113825,12,8.861939
-51.926856,12,8.880995
8.118741,12,8.898903
-1.646201,12,8.912189
-95.208832,12,8.926208
-9.26251,12,8.928836
-21.390627,12,8.949046
-94.143257,12,8.960858
-19.820436,12,8.962055
-95.391193,12,8.979278
-111.631439,12,8.994964
-99.875172,12,9.009765
-18.264314,12,9.012399
-91.434995,12,9.030063
-152.982822,12,9.049023
15.77857,12,9.062003
-24.810253,12,9.062003
-27.290681,12,9.080845
-114.709181,12,9.098506
-30.827665,12,9.111236
-131.58635,12,9.124288
-101.454968,12,9.131567
18.938745,12,9.151028
-129.380414,12,9.166924
-149.903327,12,9.181036
-13.192031,12,10.268363
-97.765007,12,10.276683
-18.493483,12,10.292946
-143.177285,12,10.298814
16.390979,12,10.321006
-3.578314,12,10.326309
17.612879,12,10.344465
-0.708432,12,10.359598
18.508355,12,10.372048
1.405238,12,10.377578
-94.408149,12,10.398613
-14.757594,12,10.414748
1.865883,12,10.427413
10.639836,12,10.427413
-154.72657,12,10.453953
-108.579771,12,10.46781
17.630874,12,10.477997
-33.305806,12,10.495917
-64.262288,12,10.509724
18.036903,12,10.511936
15.51403,12,10.526807
-16.116479,12,10.549279
-21.146003,12,10.559719
-65.766521,12,10.562543
17.620749,12,10.578161
-2.949891,12,10.593463
18.39292,12,10.606244
-118.456823,12,10.620957
-25.164199,12,10.628222
9.800742,12,10.651721
-12.197532,12,10.664956
15.371157,12,10.679435
-95.103557,12,10.70123
-0.910529,12,10.718266
-49.554975,12,10.73372
-108.554869,12,10.745834
-131.267792,12,10.756253
-110.101487,12,10.777046
-117.378014,12,10.788061
-236.386718,12,10.798642
-41.6206,12,10.818645
-32.340304,12,10.832522
-7.500896,12,10.848791
-122.996045,12,10.861724
-54.841959,12,10.879411
-158.675213,12,10.891409
-146.831275,12,10.902565
17.470665,12,10.914981
7.500652,12,10.926334
-124.044081,12,10.939208
-158.289961,12,10.951845
-152.887174,12,10.964582
-55.042509,12,10.978377
-78.049354,12,10.98938
-23.081832,12,11.005962
6.352488,12,11.019477
-92.131253,12,11.031628
-34.981948,12,11.046876
-132.137964,12,11.060207
-28.645819,12,11.07172
18.266488,12,11.086813
16.611703,12,11.100765
-47.619171,12,11.118372
4.290646,12,11.129961
6.899307,12,11.142286
10.774244,12,11.154178
-26.965251,12,11.166092
-69.649702,12,11.177717
-55.34111,12,11.188721
-94.672792,12,11.203985
-118.857182,12,11.218471
-33.363277,12,11.23243
-68.155181,12,11.244837
17.438483,12,11.255948
-46.040475,12,11.268942
9.025603,12,11.281557
-43.331782,12,11.292891
-154.0969,12,11.304398
15.226973,12,11.317056
-8.743593,12,11.331053
-18.958473,12,11.349157
-124.315784,12,11.362309
