#{"t_start": 1768154564.1193676, "env_id": "None"}
r,l,t
-179.011567,12,1.638578
-140.292419,12,1.661561
-141.189865,12,1.68664
-221.215223,12,1.709244
-238.477397,12,1.736034
-213.92679,12,1.756292
-171.139698,12,1.777108
-167.116194,12,1.797461
-174.906861,12,1.82335
-129.842455,12,1.84943
-183.614328,12,1.865558
-227.601132,12,1.892624
-144.814577,12,1.917242
-184.900149,12,1.939683
-123.074095,12,1.960451
-173.998861,12,1.985388
-175.335446,12,2.005742
-218.021875,12,2.023676
-196.036996,12,2.050488
-136.863716,12,2.07256
-224.820694,12,2.102819
-178.0704,12,2.130142
-210.223814,12,2.150894
-183.087923,12,2.178
-173.371618,12,2.21348
-168.843119,12,2.239853
-239.216724,12,2.262788
-214.490513,12,2.285089
-226.53789,12,2.30861
-202.408969,12,2.333905
-151.82728,12,2.354178
-223.150392,12,2.374571
-148.271884,12,2.395201
-167.978188,12,2.419561
-186.350613,12,2.448245
-244.404247,12,2.465276
-219.079953,12,2.491182
-204.693239,12,2.512359
-230.453669,12,2.536439
-208.499004,12,2.567114
-185.288953,12,2.587948
-186.671575,12,2.608567
-203.67181,12,2.630239
-213.417184,12,2.660444
-224.767866,12,2.691364
-134.350762,12,2.712465
-125.307717,12,2.737843
-203.511907,12,2.768445
-290.519345,12,2.788743
-208.168363,12,2.808553
-250.009743,12,2.829736
-199.219934,12,2.851757
-228.004161,12,2.880117
-169.818717,12,2.897976
-168.719201,12,2.920416
-172.590311,12,2.941117
-194.752532,12,2.961581
-232.101126,12,2.986261
-233.31631,12,3.006866
-273.057371,12,3.025813
-218.388992,12,3.049199
-67.487469,12,3.076181
-155.718409,12,3.100321
-168.075251,12,3.122904
-184.619185,12,3.158842
-145.883521,12,3.190308
-187.924271,12,3.220034
-202.337524,12,3.244433
-148.873375,12,3.267478
-242.804857,12,3.291664
-200.109214,12,3.312394
-190.606876,12,3.333202
-117.09794,12,3.358453
-217.999685,12,3.384762
-129.464428,12,3.415803
-181.755293,12,3.44681
-130.442175,12,3.47781
-239.317223,12,3.504351
-155.702699,12,3.530018
-171.864303,12,3.571367
-169.913154,12,3.596458
-211.567467,12,3.623019
-132.656088,12,3.651065
-228.030762,12,3.674318
-244.224625,12,3.70278
-125.34768,12,3.728008
-188.076722,12,3.752245
-169.914249,12,3.781899
-200.502106,12,3.80834
-103.118706,12,3.833981
-197.590512,12,3.859459
-191.726553,12,3.889001
-74.192968,12,3.912987
-174.656583,12,3.937867
-199.944622,12,3.960327
-152.421309,12,3.990466
-238.811167,12,4.014363
-150.567221,12,4.043181
-136.043174,12,4.070092
-174.407606,12,4.101124
-215.248712,12,4.132063
-158.187473,12,4.158949
-218.358765,12,4.196921
-183.91836,12,4.233152
-165.556983,12,4.261369
-240.711777,12,4.289479
-213.445459,12,4.315765
-135.256528,12,4.349201
-205.73898,12,4.379632
-225.457822,12,4.406592
-170.25447,12,4.429757
-220.641911,12,4.460032
-267.734172,12,4.480962
-220.601566,12,4.502477
-225.630628,12,4.528806
-213.065865,12,4.552362
-77.747506,12,4.57641
-171.510966,12,4.593432
-211.16356,12,4.614036
-123.850791,12,4.644608
-208.897076,12,4.671227
-163.610751,12,4.697189
-175.390917,12,4.723541
-221.84819,12,4.748072
-204.402041,12,4.777573
-211.422522,12,4.799749
-235.836379,12,4.822613
-175.638203,12,4.85011
-148.088388,12,4.877926
-157.497778,12,4.905167
-197.936122,12,4.93073
-135.895492,12,4.953726
-266.459558,12,4.978452
-236.276063,12,5.004922
-180.4463,12,5.025741
-169.747799,12,5.048848
-188.235287,12,5.075783
-170.144883,12,5.096261
-183.96517,12,5.124029
-148.511183,12,5.145825
-170.511668,12,5.171026
-147.77567,12,5.199887
-198.767962,12,5.223074
-202.679572,12,5.249285
-207.578012,12,5.274301
-215.02209,12,5.306607
-143.961165,12,5.330457
-210.154979,12,5.354991
-214.865343,12,5.381541
-212.186003,12,5.409216
-242.852215,12,5.43045
-199.367051,12,5.458639
-189.925528,12,5.483987
-130.872645,12,5.508736
-177.905369,12,5.533566
-207.667943,12,5.558541
-119.659437,12,5.579974
-142.475947,12,5.600703
-161.871518,12,5.629861
-162.041263,12,5.650167
-170.268212,12,5.674023
-142.167029,12,5.701865
-214.907479,12,5.7314
-174.387552,12,5.753139
-186.228826,12,5.77074
-191.409251,12,5.801732
-198.106732,12,5.823401
-147.748373,12,5.849528
-137.319876,12,5.873718
-176.151288,12,5.8954
-206.011549,12,7.638474
-210.155885,12,7.662505
-173.307809,12,7.68807
-131.838308,12,7.714402
-176.042359,12,7.729756
-160.229386,12,7.752734
-184.759645,12,7.776008
-195.372575,12,7.800269
-209.483999,12,7.824173
-204.923087,12,7.847799
-217.652703,12,7.869641
-136.704587,12,7.897514
-135.512509,12,7.921175
-170.366626,12,7.941455
-141.405195,12,7.96261
-117.258751,12,7.982967
-196.309997,12,8.001711
-92.453167,12,8.026173
-121.851206,12,8.045345
-164.302647,12,8.071302
-179.724684,12,8.096523
-142.711176,12,8.109064
-120.619441,12,8.140885
-111.353351,12,8.159541
-161.754157,12,8.183493
-198.338789,12,8.203073
-155.538193,12,8.226608
-190.690046,12,8.254452
-113.345157,12,8.278553
-164.715462,12,8.295797
-196.432355,12,8.319356
-103.633785,12,8.337594
-136.094443,12,8.366311
-160.764224,12,8.38875
-254.409154,12,8.409984
-104.159115,12,8.432659
-213.424338,12,8.456744
-180.903832,12,8.479927
-153.617879,12,8.492958
-186.593448,12,8.524047
-142.383313,12,8.544968
-157.437154,12,8.566194
-115.089376,12,8.599555
-151.892379,12,8.622216
-225.789529,12,8.647582
